#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.100366,11,6.157898
-0.094216,9,6.159169
-0.188288,27,6.162781
-0.094467,9,6.163994
-0.180901,22,6.167245
-0.097907,8,6.168402
-0.212458,17,6.170782
-0.188104,31,6.175031
-0.282746,22,6.178146
-0.198817,17,6.180588
-0.130132,14,6.182591
-0.201552,31,6.186965
-0.132401,22,6.190052
-0.155206,17,6.192435
-0.167594,17,6.194808
-0.091195,8,6.19594
-0.178187,16,6.198197
-0.197162,29,6.20225
-0.191016,19,6.204888
-0.122051,9,6.20622
-0.096666,7,6.207231
-0.141678,20,6.210027
-0.137874,23,6.21324
-0.506371,44,6.219404
-0.110361,9,6.220698
-0.085187,9,6.221986
-0.188482,16,6.224219
-0.117582,21,6.227156
-0.199803,22,6.230292
-0.10733,7,6.231327
-0.126466,20,6.234106
-0.122751,15,6.236181
-0.177272,23,6.239275
-0.331463,54,6.246503
-0.175213,20,6.249272
-0.081903,8,6.250355
-0.135689,14,6.252246
-0.178655,26,6.25581
-0.115365,15,6.257813
-0.09738,8,6.258905
-0.288063,27,6.262554
-0.086576,6,6.26337
-0.10333,12,6.265033
-0.139985,18,6.267484
-0.073897,7,6.268467
-0.104424,8,6.269576
-0.080612,9,6.270819
-0.167148,23,6.273908
-0.082956,7,6.274909
-0.157191,24,6.278215
-0.116828,9,6.279516
-0.101972,6,6.28036
-0.066559,13,6.282169
-0.092376,12,6.283841
-0.138761,13,6.285613
-0.221862,24,6.288863
-0.116329,8,6.289958
-0.094402,12,6.29162
-0.107667,11,6.293127
-0.118568,15,6.295171
-0.106911,10,6.296553
-0.123032,19,6.299336
-0.094705,8,6.300456
-0.225803,17,6.302849
-0.341831,49,6.309401
-0.130218,11,6.310891
-0.121875,23,6.313948
-0.31397,37,6.318945
-0.093634,10,6.320316
-0.202153,23,6.323397
-0.124166,17,6.325684
-0.129376,16,6.327937
-0.110494,19,6.330557
-0.14842,26,6.653134
-0.108056,15,6.655254
-0.10132,13,6.657047
-0.145097,19,6.659672
-0.129574,13,6.661504
-0.114723,8,6.662616
-0.087138,8,6.663732
-0.262757,33,6.668266
-0.103548,15,6.670307
-0.079865,7,6.671268
-0.148691,23,6.674344
-0.069602,9,6.675619
-0.096319,11,6.677151
-0.113272,8,6.678279
-0.191426,32,6.682819
-0.177611,25,6.686397
-0.137414,15,6.688464
-0.120859,11,6.69003
-0.170123,17,6.692494
-0.114764,14,6.694418
-0.088554,10,6.695821
-0.103789,16,6.698187
-0.103716,26,6.702064
-0.075354,13,6.703978
-0.249084,30,6.708212
-0.24539,31,6.71247
-0.091319,7,6.713454
-0.163442,24,6.716788
-0.088094,6,6.717657
-0.183034,16,6.719892
-0.282725,28,6.723699
-0.208486,19,6.726319
-0.111595,13,6.728172
-0.124615,9,6.729446
-0.147311,20,6.732257
-0.161363,13,6.73402
-0.141987,14,6.735962
-0.135503,16,6.738119
-0.094193,11,6.739638
-0.158146,15,6.741686
-0.251848,34,6.746247
-0.078847,11,6.747757
-0.42336,77,6.758109
-0.111801,20,6.760768
-0.138786,16,6.762919
-0.08624,10,6.764264
-0.091507,17,6.766599
-0.154986,17,6.768918
-0.153124,23,6.771981
-0.085255,14,6.773842
-0.172816,31,6.778007
-0.105832,14,6.779945
-0.105364,15,6.78206
-0.072226,10,6.783438
-0.075449,12,6.785081
-0.161476,21,6.787918
